編號,籤名,干支,卦象,屬性方位,籤詩
1,第一籤,甲子,○○○　○○○,屬金利秋　宜其西方,"日出便見風雲散、
光明清淨照世間、
一向前途通大道、
萬事清吉保平安。"
2,第二籤,甲寅,●○●　○ ●●,屬水利冬　宜其北方,"於今此景正當時、
看看欲吐百花魁、
若能遇得春色到、
一洒清吉脫塵埃。"
3,第三籤,甲辰,○○○　●○●,屬火利夏　宜其南方,"勸君把定心莫虛、
天註衣祿自有餘、
和合重重常吉慶、
時來終遇得明珠。"
4,第四籤,甲午,●●●　●○○,屬金利秋　宜其西方,"風恬浪靜可行舟、
恰是中秋月一輪、
凡事不須多憂慮、
福祿自有慶家門。"
5,第五籤,甲申,●○○　○●○,屬水利冬　宜其北方,"只恐前途命有變、
勸君作急可宜先、
且守長江無大事、
命逢太白守身邊。"
6,第六籤,甲戌,○●○　○○○,屬火利夏　宜其南方,"風雲致雨落洋洋、
天災時氣必有傷、
命內此事難和合、
更逢一足出外鄉。"
7,第七籤,乙丑,○○●　●○●,屬金利秋　宜其西方,"雲開月出正分明、
不須進退問前程、
婚姻皆由天註定、
和合清吉萬事成。"
8,第八籤,乙卯,○● ●　●○●,屬水利冬　宜其北方,"禾稻看看結成完、
此事必定兩相全、
回到家中寬心坐、
妻兒鼓舞樂團圓。"
9,第九籤,乙巳,●●●　○○○,屬火利夏　宜其南方,"龍虎相隨在深山、
君爾何須背後看、
不知此去相愛愉、
他日與我卻無干。"
10,第十籤,乙未,●●○　●● ●,屬金利秋　宜其西方,"花開結子一半枯、
可惜今年汝虛度、
漸漸日落西山去、
勸君不用向前途。"
11,第十一籤,乙酉,●○●　●○●,屬水利冬　宜其北方,"靈雞漸漸見分明、
凡事且看子丑寅、
雲開月出照天下、
郎君即便見太平。"
12,第十二籤,乙亥,●○○　●○○,屬火利夏　宜其南方,"長江風浪漸漸靜、
于今得進可安寧、
必有貴人相扶助、
凶事脫出見太平。"
13,第十三籤,丙子,●●○　○○○,屬水利冬　宜其北方,"命中正逢羅孛關、
用盡心機總未休、
作福問神難得過、
恰是行舟上高灘。"
14,第十四籤,丙寅,○●●　●○○,屬火利夏　宜其南方,"財中漸漸見分明、
花開花謝結子成、
寬心且看月中桂、
郎君即便見太平。"
15,第十五籤,丙辰,○○●　○○●,屬土利年　四方皆宜,"八十原來是太公、
看看晚景遇文王、
目下緊事休相問、
勸君且守待運通。"
16,第十六籤,丙午,○○○　●●○,屬水利冬　宜其北方,"不須作福不須求、
用盡心機總未休、
陽世不知陰世事、
官法如爐不自由。"
17,第十七籤,丙申,○○●　●○○,屬火利夏　宜其南方,"舊恨重重未改為、
家中禍患不臨身、
須當謹防宜作福、
龍蛇交會得和合。"
18,第十八籤,丙戌,●○○　○●○,屬土利年。四方皆宜,"君問中間此言因、
看看祿馬拱前程、
若得貴人多得利、
和合自有兩分明。"
19,第十九籤,丁丑,●○●　●●○,屬水利冬　宜其北方,"富貴由命天註定、
心高必然誤君期、
不然且回依舊路、
雲開月出自分明。"
20,第二十籤,丁卯,●○○　●●○,屬火利夏　宜其南方,"前途功名未得意、
只恐命內有交加、
兩家必定防損失、
勸君且退莫咨嗟。"
21,第二十一籤,丁巳,●○○　○○○,屬土利年　四方皆宜,"十方佛法有靈通、
大難禍患不相同、
紅日當空常照耀、
還有貴人到家堂。"
22,第二十二籤,丁未,●●●　○○●,屬水利冬　宜其北方,"太公家業八十成、
月出光輝四海明、
命內自然逢大吉、
茅屋中間百事亨。"
23,第二十三籤,丁酉,○○●　○●●,屬火利夏　宜其南方,"欲去長江水闊茫、
前途未遂運未通、
如今絲綸常在手、
只恐魚水不相逢。"
24,第二十四籤,丁亥,●●● ●○●,屬土利年　四方皆宜,"月出光輝四海明、
前途祿位見太平、
浮雲掃退終無事、
可保禍患不臨身。"
25,第二十五籤,戊子,●○○　○●●,屬火利夏　宜其南方,"總是前途莫心勞、
求神問聖枉是多、
但看雞犬日過後、
不須作福事如何。"
26,第二十六籤,戊寅,●○●　●○●,屬土利年　四方皆宜,"選出牡丹第一枝、
勸君折取莫遲疑、
世間若問相知處、
萬事逢春正及時。"
27,第二十七籤,戊辰,○○○　●○○,屬木利春　宜其東方,"君爾寬心且自由、
門庭清吉家無憂、
財寶自然終吉利、
凡事無傷不用求。"
28,第二十八籤,戊午,●●○　○●●,屬火利夏　宜其南方,"於今莫作此當時、
虎落平陽被犬欺、
世間凡事何難定、
千山萬水也遲疑。"
29,第二十九籤,戊申,●●○　○●○,屬土利年　四方皆宜,"枯木可惜未逢春、
如今反在暗中藏、
寬心且守風霜退、
還君依舊作乾坤。"
30,第三十籤,戊戌,●●●　○●○,屬木利春　宜其東方,"漸漸看此月中和、
過後須防未得高、
改變顏色前途去、
凡事必定見重勞。"
31,第三十一籤,己丑,○●○　●○●,屬火利夏　宜其南方,"綠柳蒼蒼正當時、
任君此去作乾坤、
花果結實無殘謝、
福祿自有慶家門。"
